super owl:Thing
Organisation ReligiousOrganisation
Organisation SambaSchool
Organisation SportsClub
Organisation SportsLeague
Organisation SportsTeam
Organisation TermOfOffice
Organisation TradeUnion
Person Archeologist
Person Architect
Person Aristocrat
Person Artist
Person Astronaut
Person Athlete
Person BeautyQueen
Person BusinessPerson
Person Chef
Person Cleric
Person Coach
Person Criminal
Person Economist
Person Egyptologist
Person Engineer
Person Farmer
Person HorseTrainer
Person Journalist
Person Judge
Person Lawyer
Person Linguist
Person MemberResistanceMovement
Person MilitaryPerson
Person Model
Person Monarch
Person MovieDirector
Person Noble
Person OfficeHolder
Person OrganisationMember
Person Philosopher
Person PlayboyPlaymate
Person Politician
Person PoliticianSpouse
Person Presenter
Person Producer
Person Psychologist
Person Referee
Person Religious
Person RomanEmperor
Person Royalty
Person Scientist
Person SportsManager
Person TelevisionDirector
Person TheatreDirector
Person Writer
Gene HumanGene
Gene MouseGene
Drug CombinationDrug
Drug MonoclonalAntibody
Drug Vaccine
Camera DigitalCamera
Engine AutomobileEngine
Engine RocketEngine
Instrument Guitar
Instrument Organ
Competition Contest
LifeCycleEvent PersonalEvent
NaturalEvent Earthquake
NaturalEvent SolarEclipse
NaturalEvent StormSurge
SocietalEvent AcademicConference
SocietalEvent Attack
SocietalEvent Convention
SocietalEvent Election
SocietalEvent FilmFestival
SocietalEvent HistoricalEvent
SocietalEvent Meeting
SocietalEvent MilitaryConflict
SocietalEvent MusicFestival
SocietalEvent Rebellion
SocietalEvent SpaceMission
SocietalEvent SportsEvent
Beverage Beer
Beverage Vodka
Beverage Wine
Aircraft MilitaryAircraft
On-SiteTransportation ConveyorSystem
On-SiteTransportation Escalator
On-SiteTransportation MovingWalkway
ArchitecturalStructure AmusementParkAttraction
ArchitecturalStructure Arena
ArchitecturalStructure Building
ArchitecturalStructure Infrastructure
ArchitecturalStructure MilitaryStructure
ArchitecturalStructure Mill
ArchitecturalStructure Monument
ArchitecturalStructure Pyramid
ArchitecturalStructure SportFacility
ArchitecturalStructure Square
ArchitecturalStructure Tower
ArchitecturalStructure Tunnel
ArchitecturalStructure Zoo
CelestialBody Asteroid
CelestialBody Constellation
CelestialBody Galaxy
CelestialBody Nebula
CelestialBody Planet
CelestialBody Satellite
CelestialBody Star
CelestialBody Swarm
Mine CoalPit
NaturalPlace Archipelago
NaturalPlace Beach
NaturalPlace BodyOfWater
NaturalPlace Cape
NaturalPlace Cave
NaturalPlace Crater
NaturalPlace Desert
NaturalPlace Forest
NaturalPlace Glacier
NaturalPlace HotSpring
NaturalPlace Mountain
NaturalPlace MountainPass
NaturalPlace MountainRange
NaturalPlace Valley
NaturalPlace Volcano
PopulatedPlace Agglomeration
PopulatedPlace Community
PopulatedPlace Continent
PopulatedPlace Country
PopulatedPlace GatedCommunity
PopulatedPlace Intercommunality
PopulatedPlace Island
PopulatedPlace Locality
PopulatedPlace Region
PopulatedPlace Settlement
PopulatedPlace State
PopulatedPlace Street
PopulatedPlace Territory
Eukaryote Animal
Eukaryote Fungus
Eukaryote Plant
SportsTeamSeason BaseballSeason
SportsTeamSeason FootballLeagueSeason
SportsTeamSeason NCAATeamSeason
SportsTeamSeason SoccerClubSeason
SportsTeamSeason SoccerLeagueSeason
CareerStation MilitaryService
Genre ArtisticGenre
Genre LiteraryGenre
Genre MovieGenre
Genre MusicGenre
TheologicalConcept ChristianDoctrine
Type DocumentType
Type GovernmentType
Case LegalCase
Project ResearchProject
Artwork Painting
Artwork Sculpture
Cartoon Anime
Cartoon HollywoodCartoon
CollectionOfValuables Archive
Database BiologicalDatabase
Document File
Document Image
Document Sound
MusicalWork Album
MusicalWork ArtistDiscography
MusicalWork ClassicalMusicComposition
MusicalWork Musical
MusicalWork NationalAnthem
MusicalWork Opera
MusicalWork Single
MusicalWork Song
Software VideoGame
WrittenWork Annotation
WrittenWork Article
WrittenWork Book
WrittenWork Comic
WrittenWork Drama
WrittenWork Law
WrittenWork Letter
WrittenWork MultiVolumePublication
WrittenWork PeriodicalLiterature
WrittenWork Play
WrittenWork Poem
WrittenWork Quote
WrittenWork Resume
WrittenWork StatedResolution
WrittenWork Treaty
ComicsCharacter AnimangaCharacter
Broadcaster BroadcastNetwork
Broadcaster RadioStation
Broadcaster TelevisionStation
Company Bank
Company Brewery
Company Caterer
Company LawFirm
Company PublicTransitSystem
Company Publisher
Company RecordLabel
Company Winery
EducationalInstitution College
EducationalInstitution Library
EducationalInstitution School
EducationalInstitution University
GovernmentAgency GovernmentCabinet
Group Band
Group ComedyGroup
Non-ProfitOrganisation RecordOffice
ReligiousOrganisation ClericalOrder
SportsClub HockeyClub
SportsClub RugbyClub
SportsClub SoccerClub
SportsLeague AmericanFootballLeague
SportsLeague AustralianFootballLeague
SportsLeague AutoRacingLeague
SportsLeague BaseballLeague
SportsLeague BasketballLeague
SportsLeague BowlingLeague
SportsLeague BoxingLeague
SportsLeague CanadianFootballLeague
SportsLeague CricketLeague
SportsLeague CurlingLeague
SportsLeague CyclingLeague
SportsLeague FieldHockeyLeague
SportsLeague FormulaOneRacing
SportsLeague GolfLeague
SportsLeague HandballLeague
SportsLeague IceHockeyLeague
SportsLeague InlineHockeyLeague
SportsLeague LacrosseLeague
SportsLeague MixedMartialArtsLeague
SportsLeague MotorcycleRacingLeague
SportsLeague PaintballLeague
SportsLeague PoloLeague
SportsLeague RadioControlledRacingLeague
SportsLeague RugbyLeague
SportsLeague SoccerLeague
SportsLeague SoftballLeague
SportsLeague SpeedwayLeague
SportsLeague TennisLeague
SportsLeague VideogamesLeague
SportsLeague VolleyballLeague
SportsTeam AmericanFootballTeam
SportsTeam AustralianFootballTeam
SportsTeam BaseballTeam
SportsTeam BasketballTeam
SportsTeam CanadianFootballTeam
SportsTeam CricketTeam
SportsTeam CyclingTeam
SportsTeam FormulaOneTeam
SportsTeam HandballTeam
SportsTeam HockeyTeam
SportsTeam SpeedwayTeam
Artist Actor
Artist Comedian
Artist ComicsCreator
Artist Dancer
Artist FashionDesigner
Artist Humorist
Artist MusicalArtist
Artist Painter
Artist Photographer
Artist Sculptor
Athlete ArcherPlayer
Athlete AthleticsPlayer
Athlete AustralianRulesFootballPlayer
Athlete BadmintonPlayer
Athlete BaseballPlayer
Athlete BasketballPlayer
Athlete Bodybuilder
Athlete Boxer
Athlete BullFighter
Athlete Canoeist
Athlete ChessPlayer
Athlete Cricketer
Athlete Cyclist
Athlete DartsPlayer
Athlete Fencer
Athlete GaelicGamesPlayer
Athlete GolfPlayer
Athlete GridironFootballPlayer
Athlete Gymnast
Athlete HandballPlayer
Athlete HighDiver
Athlete HorseRider
Athlete Jockey
Athlete LacrossePlayer
Athlete MartialArtist
Athlete MotorsportRacer
Athlete NationalCollegiateAthleticAssociationAthlete
Athlete NetballPlayer
Athlete PokerPlayer
Athlete Rower
Athlete RugbyPlayer
Athlete SnookerPlayer
Athlete SoccerPlayer
Athlete SquashPlayer
Athlete Surfer
Athlete Swimmer
Athlete TableTennisPlayer
Athlete TeamMember
Athlete TennisPlayer
Athlete VolleyballPlayer
Athlete WaterPoloPlayer
Athlete WinterSportPlayer
Athlete Wrestler
Cleric Cardinal
Cleric ChristianBishop
Cleric ChristianPatriarch
Cleric Pope
Cleric Priest
Cleric Saint
Cleric Vicar
Coach AmericanFootballCoach
Coach CollegeCoach
Coach VolleyballCoach
Criminal Murderer
OrganisationMember SportsTeamMember
Politician Ambassador
Politician Chancellor
Politician Congressman
Politician Deputy
Politician Governor
Politician Lieutenant
Politician Mayor
Politician MemberOfParliament
Politician Minister
Politician President
Politician PrimeMinister
Politician Senator
Politician VicePresident
Politician VicePrimeMinister
Presenter RadioHost
Presenter TelevisionHost
Royalty BritishRoyalty
Scientist Biologist
Scientist Entomologist
Scientist Medician
Scientist Professor
SportsManager SoccerManager
Writer Historian
Writer MusicComposer
Writer PlayWright
Writer Poet
Writer ScreenWriter
Writer SongWriter
SportsEvent CyclingCompetition
SportsEvent FootballMatch
SportsEvent GrandPrix
SportsEvent InternationalFootballLeagueEvent
SportsEvent MixedMartialArtsEvent
SportsEvent NationalFootballLeagueEvent
SportsEvent Olympics
SportsEvent Race
SportsEvent Tournament
SportsEvent WrestlingEvent
Wine ControlledDesignationOfOriginWine
AmusementParkAttraction RollerCoaster
AmusementParkAttraction WaterRide
Building Casino
Building Castle
Building Factory
Building HistoricBuilding
Building Hospital
Building Hotel
Building Museum
Building Prison
Building ReligiousBuilding
Building Restaurant
Building ShoppingMall
Building Skyscraper
Building Venue
Infrastructure Airport
Infrastructure Dam
Infrastructure Dike
Infrastructure LaunchPad
Infrastructure Lock
Infrastructure Port
Infrastructure PowerStation
Infrastructure RestArea
Infrastructure RouteOfTransportation
Infrastructure Station
MilitaryStructure Fort
Mill Treadmill
Mill Watermill
Mill WindMotor
Mill Windmill
Monument GraveMonument
Monument Memorial
SportFacility CricketGround
SportFacility GolfCourse
SportFacility RaceTrack
SportFacility SkiArea
Tower Lighthouse
Tower WaterTower
Satellite ArtificialSatellite
Star BrownDwarf
Swarm Globularswarm
Swarm Openswarm
BodyOfWater Bay
BodyOfWater Lake
BodyOfWater Ocean
BodyOfWater Sea
BodyOfWater Stream
Crater LunarCrater
Country HistoricalCountry
Island Atoll
Region AdministrativeRegion
Region HistoricalRegion
Region NaturalRegion
Settlement City
Settlement CityDistrict
Settlement HistoricalSettlement
Settlement Town
Settlement Village
Territory OldTerritory
Animal Amphibian
Animal Arachnid
Animal Bird
Animal Crustacean
Animal Fish
Animal Insect
Animal Mammal
Animal Mollusca
Animal Reptile
Plant ClubMoss
Plant Conifer
Plant CultivatedVariety
Plant Cycad
Plant Fern
Plant FloweringPlant
Plant Ginkgo
Plant Gnetophytes
Plant GreenAlga
Plant Moss
FootballLeagueSeason NationalFootballLeagueSeason
LegalCase SupremeCourtOfTheUnitedStatesCase
Image MovingImage
Image StillImage
Song EurovisionSongContestEntry
Annotation Reference
Book Novel
Comic ComicStrip
Comic Manga
Comic Manhua
Comic Manhwa
PeriodicalLiterature AcademicJournal
PeriodicalLiterature Magazine
PeriodicalLiterature Newspaper
PeriodicalLiterature UndergroundJournal
PublicTransitSystem Airline
PublicTransitSystem BusCompany
SoccerClub NationalSoccerClub
Actor AdultActor
Actor VoiceActor
MusicalArtist BackScene
MusicalArtist ClassicalMusicArtist
MusicalArtist Instrumentalist
MusicalArtist MusicDirector
MusicalArtist Singer
Boxer AmateurBoxer
GridironFootballPlayer AmericanFootballPlayer
GridironFootballPlayer CanadianFootballPlayer
MotorsportRacer MotorcycleRider
MotorsportRacer RacingDriver
SnookerPlayer SnookerChamp
VolleyballPlayer BeachVolleyballPlayer
WinterSportPlayer Biathlete
WinterSportPlayer BobsleighAthlete
WinterSportPlayer CrossCountrySkier
WinterSportPlayer Curler
WinterSportPlayer FigureSkater
WinterSportPlayer IceHockeyPlayer
WinterSportPlayer NordicCombined
WinterSportPlayer Skater
WinterSportPlayer Ski_jumper
WinterSportPlayer Skier
WinterSportPlayer SpeedSkater
Wrestler SumoWrestler
ChristianBishop Archbishop
Murderer SerialKiller
BritishRoyalty Baronet
Olympics OlympicEvent
Race CyclingRace
Race HorseRace
Race MotorRace
Tournament GolfTournament
Tournament SoccerTournament
Tournament TennisTournament
Tournament WomensTennisAssociationTournament
ReligiousBuilding Church
ReligiousBuilding Monastery
ReligiousBuilding Mosque
ReligiousBuilding Shrine
ReligiousBuilding Synagogue
ReligiousBuilding Temple
Venue Cinema
Venue Stadium
Venue Theatre
PowerStation NuclearPowerStation
RouteOfTransportation Bridge
RouteOfTransportation RailwayLine
RouteOfTransportation RailwayTunnel
RouteOfTransportation Road
RouteOfTransportation RoadJunction
RouteOfTransportation RoadTunnel
RouteOfTransportation WaterwayTunnel
Station MetroStation
Station RailwayStation
Station RouteStop
Station TramStation
RaceTrack Racecourse
SkiArea SkiResort
Stream Canal
Stream River
AdministrativeRegion ClericalAdministrativeRegion
AdministrativeRegion GovernmentalAdministrativeRegion
AdministrativeRegion HistoricalAreaOfAuthority
City Capital
City CapitalOfRegion
Mammal Cat
Mammal Dog
Mammal Horse
FloweringPlant Grape
Novel LightNovel
Instrumentalist Guitarist
MotorcycleRider MotocycleRacer
MotorcycleRider SpeedwayRider
RacingDriver DTMRacer
RacingDriver FormulaOneRacer
RacingDriver NascarDriver
RacingDriver RallyDriver
ClericalAdministrativeRegion Deanery
ClericalAdministrativeRegion Diocese
ClericalAdministrativeRegion Parish
GovernmentalAdministrativeRegion Arrondissement
GovernmentalAdministrativeRegion Canton
GovernmentalAdministrativeRegion Department
GovernmentalAdministrativeRegion District
GovernmentalAdministrativeRegion DistrictWaterBoard
GovernmentalAdministrativeRegion MicroRegion
GovernmentalAdministrativeRegion Municipality
GovernmentalAdministrativeRegion Prefecture
GovernmentalAdministrativeRegion Province
GovernmentalAdministrativeRegion Regency
GovernmentalAdministrativeRegion SubMunicipality
Department OverseasDepartment
District HistoricalDistrict
Municipality FormerMunicipality
Province HistoricalProvince
